종목_list,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산
지역난방공사,"6,420","5,905","5,839","7,115"
지코,144,181,139,93
지투알,"5,949","4,623","4,891","5,162"
진도,"1,036",889,739,816
진양산업,198,239,319,308
진양폴리,71,83,98,124
진양홀딩스,"1,553","1,298","1,393","1,650"
진양화학,128,105,122,88
진에어,"4,270","3,533","1,613","1,943"
진원생명과학,382,366,"1,088","1,332"
진흥기업,"2,864","2,183","1,634","1,995"
참엔지니어링,"2,086","1,677","4,683","4,219"
천일고속,128,121,155,148
센트럴인사이트,378,176,74,104
체시스,221,180,204,173
카카오,"28,590","28,297","44,629","81,022"
카프로,"2,234","1,937","1,341","2,168"
케이씨,"2,748","3,304","4,349","4,025"
케이씨텍,"2,119","2,312","2,977","3,217"
케이탑리츠,87,86,123,94
KTis,"1,272","1,277","1,263","1,244"
엘브이엠씨홀딩스,"3,676","3,277","3,041","2,623"
코리아써키트,"2,328","2,257","4,899","6,162"
코리아오토글라스,"2,188","2,714","2,289","2,458"
코리안리,"4,455","5,847","6,430","6,938"
코스맥스,"5,958","6,183","6,226","7,922"
코스맥스비티아이,"2,068","2,353","2,466","2,740"
코스모신소재,753,"1,010","1,540","1,193"
코스모화학,"1,254","1,518","2,037","1,992"
코아스,384,358,298,339
코오롱,"12,555","13,203","13,520","14,228"
코오롱글로벌,"9,485","9,939","11,159","11,705"
코오롱머티리얼,"1,121",721,382,380
코오롱인더,"19,552","20,791","18,700","22,132"
코오롱플라스틱,"1,208","1,185","1,079","1,709"
코웨이,"8,437","7,669","8,969","11,065"
콤텍시스템,875,"1,189","1,310","2,400"
쿠쿠홀딩스,"2,474","2,670","3,263","4,022"
크라운제과,"1,037",925,986,"1,461"
크라운해태홀딩스,"2,810","2,440","2,237","2,606"
키움증권,"52,653","52,776","120,124","162,214"
아센디오,805,464,173,440
태경산업,"1,992","2,341","2,167","2,478"
태경케미컬,197,511,520,623
태광산업,"20,724","19,458","16,286","21,721"
태림포장,"1,520","1,260","1,148","1,532"
태양금속,"2,010","1,804","1,837","1,980"
태영건설,"27,908","35,284","25,012","20,097"
태원물산,216,220,226,220
태평양물산,"2,947","3,122","3,448","4,071"
테이팩스,304,471,661,749
텔코웨어,908,705,823,783
토니모리,"1,005","1,208",780,656
트러스제7호,46,49,59,74
티에이치엔,"1,104","1,382","1,395","1,771"
티웨이홀딩스,"3,410","2,737","1,370","1,255"
시디즈,460,421,585,499
파미셀,325,347,429,665
팜스코,"4,118","4,433","4,683","6,138"
팬오션,"6,922","6,795","6,625","13,587"
퍼스텍,723,956,900,"1,025"
퍼시스,"2,595","2,549","2,193","2,809"
페이퍼코리아,"3,377","3,729","2,490","2,411"
평화산업,934,"1,039","1,152","1,229"
평화홀딩스,"1,970","2,047","2,741","2,646"
포스코스틸리온,"2,519","3,078","3,054","4,323"
포스코인터내셔널,"59,802","50,323","47,646","71,552"
풀무원,"4,705","4,678","6,304","7,110"
풍산,"13,616","12,452","13,020","18,595"
풍산홀딩스,"1,796","2,417","2,341","1,964"
KH 필룩스,"1,380","1,284","1,036","1,571"
하나금융지주,"243,070","237,193","275,298","314,066"
하나니켈1호, , , , 
하나니켈2호, , , , 
하나투어,"4,977","4,082","2,083","1,662"
하이골드12호,8,9,27,367
