,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
신세계푸드,"['12,786', '13,201', '12,403', '13,329', '12,403', '7.5']","['2,145', '2,839', '2,471', '2,718']","['1,867', '2,605', '2,467', '1,771']","['6,250', '7,333', '8,872', '8,795']","['3,081', '4,182', '6,039', '5,947']"
신송홀딩스,"['1,633', '2,630', '2,059', '1,864', '2,059', '-9.4']","['394', '658', '303', '356']","['359', '642', '394', '541']","['2,053', '1,999', '1,678', '2,482']","['802', '1,092', '773', '1,529']"
신영와코루,"['1,742', '1,781', '1,780', '1,894', '1,780', '6.4']","['1,517', '1,496', '1,784', '1,703']","['256', '273', '455', '540']","['3,452', '3,483', '3,734', '3,887']","['320', '339', '563', '658']"
신영증권,"['1,194', '1,229', '1,330', '875', '1,029', '-15.0']","['16,936', '14,590', '7,376', '9,052']","['\xa0', '\xa0', '\xa0', '\xa0']","['99,442', '96,293', '98,208', '113,338']","['\xa0', '\xa0', '\xa0', '\xa0']"
신원,"['6,215', '6,749', '6,943', '8,794', '6,943', '26.7']","['2,738', '2,726', '2,731', '3,484']","['2,031', '1,391', '1,358', '1,948']","['4,123', '4,034', '4,058', '5,036']","['2,293', '2,019', '2,202', '2,921']"
신일전자,"['1,687', '1,459', '1,724', '1,935', '1,724', '12.2']","['630', '654', '720', '827']","['336', '285', '352', '390']","['1,023', '1,001', '1,106', '1,221']","['356', '306', '353', '395']"
신풍제약,"['1,874', '1,897', '1,978', '1,892', '1,978', '-4.3']","['2,246', '2,192', '3,328', '2,272']","['1,462', '1,340', '833', '286']","['3,810', '3,801', '4,872', '3,926']","['1,735', '1,710', '1,128', '380']"
신풍제지,"['1,541', '1,569', '338', '259', '338', '-23.3']","['839', '1,140', '661', '737']","['1,078', '1,144', '55', '38']","['1,673', '1,856', '1,078', '939']","['1,151', '1,167', '73', '45']"
신한,"['506', '580', '375', '6', '261', '-97.7']","['381', '695', '314', '329']","['687', '1,254', '760', '785']","['1,522', '1,707', '1,128', '1,141']","['1,028', '1,314', '867', '891']"
신한지주,"['85,801', '97,380', '98,827', '107,693', '98,827', '9.0']","['183,742', '294,330', '336,620', '285,714']","['\xa0', '\xa0', '\xa0', '\xa0']","['4,596,005', '5,524,196', '6,052,341', '6,481,522']","['4,229,491', '5,104,892', '5,588,772', '5,986,138']"
SHD,"['716', '741', '773', '1,048', '773', '35.5']","['456', '446', '416', '467']","['285', '296', '227', '242']","['646', '653', '642', '710']","['305', '311', '296', '304']"
신흥,"['1,215', '1,230', '1,167', '1,269', '1,167', '8.7']","['567', '499', '615', '540']","['400', '445', '506', '362']","['1,327', '1,389', '1,462', '1,386']","['454', '587', '543', '372']"
쌍방울,"['1,017', '955', '972', '970', '972', '-0.2']","['914', '817', '971', '2,713']","['1,446', '1,479', '1,055', '1,449']","['3,802', '3,404', '3,505', '3,956']","['1,761', '1,743', '1,351', '1,673']"
쌍용C&E,"['15,100', '15,385', '14,708', '16,614', '14,708', '13.0']","['7,808', '7,467', '7,080', '6,292']","['5,274', '6,821', '4,542', '6,652']","['34,293', '33,680', '33,268', '35,648']","['14,497', '15,667', '16,371', '19,093']"
쌍용차,"['37,048', '36,239', '29,502', '24,293', '29,502', '-17.7']","['5,711', '4,975', '5,467', '4,394']","['9,951', '9,871', '12,601', '13,461']","['22,056', '20,192', '17,686', '18,630']","['15,124', '16,161', '18,568', '19,436']"
써니전자,"['187', '256', '164', '164', '164', '-0.1']","['237', '152', '470', '605']","['45', '70', '14', '83']","['546', '615', '654', '772']","['125', '76', '16', '90']"
씨아이테크,"['323', '407', '414', '472', '414', '14.0']","['202', '181', '225', '274']","['135', '162', '326', '229']","['430', '587', '751', '795']","['187', '248', '424', '317']"
씨에스윈드,"['5,022', '7,994', '9,691', '12,034', '9,691', '24.2']","['3,867', '4,267', '5,472', '10,729']","['2,258', '3,138', '3,322', '5,727']","['6,064', '7,356', '8,807', '17,739']","['2,879', '3,658', '4,371', '8,271']"
아남전자,"['1,923', '2,433', '2,647', '3,598', '2,647', '35.9']","['831', '889', '1,433', '2,181']","['779', '851', '1,313', '1,840']","['1,395', '1,465', '1,928', '2,720']","['839', '888', '1,336', '1,936']"
아모레G,"['60,782', '62,843', '49,301', '53,261', '49,301', '8.0']","['24,896', '29,059', '28,531', '30,155']","['8,976', '12,259', '11,702', '12,733']","['73,874', '82,814', '77,887', '80,381']","['11,449', '18,012', '15,167', '15,625']"
아모레퍼시픽,"['52,778', '55,801', '44,322', '48,631', '44,322', '9.7']","['15,672', '18,031', '18,257', '20,185']","['7,632', '10,666', '9,659', '11,575']","['53,711', '59,890', '57,019', '61,167']","['9,247', '14,902', '12,375', '13,724']"
메타랩스,"['474', '869', '490', '393', '490', '-19.8']","['417', '355', '273', '364']","['292', '246', '164', '256']","['1,071', '983', '770', '850']","['339', '397', '236', '286']"
아세아,"['16,276', '15,424', '15,271', '18,465', '15,271', '20.9']","['7,009', '6,715', '6,580', '8,007']","['4,075', '3,670', '3,637', '4,828']","['28,403', '28,844', '28,875', '31,153']","['14,564', '14,234', '13,599', '13,991']"
아세아시멘트,"['8,438', '8,368', '7,875', '8,926', '7,875', '13.3']","['4,056', '3,775', '3,469', '4,109']","['2,263', '2,340', '2,194', '3,041']","['19,287', '19,308', '19,014', '20,373']","['11,428', '11,250', '10,778', '11,177']"
아세아제지,"['7,758', '6,977', '7,316', '9,457', '7,316', '29.3']","['2,803', '2,689', '2,905', '3,592']","['1,712', '1,297', '1,384', '1,687']","['8,124', '8,482', '8,823', '9,696']","['2,789', '2,634', '2,488', '2,552']"
아시아나항공,"['71,834', '68,868', '38,781', '43,397', '38,781', '11.9']","['15,136', '15,608', '23,862', '25,653']","['33,693', '45,584', '52,472', '52,393']","['81,911', '135,034', '138,515', '130,827']","['70,979', '125,951', '127,621', '125,616']"
아이마켓코리아,"['29,352', '29,238', '28,394', '31,325', '28,394', '10.3']","['8,651', '8,691', '8,668', '8,349']","['6,041', '6,047', '6,314', '6,445']","['10,783', '10,969', '11,108', '11,202']","['6,367', '6,703', '6,939', '7,034']"
아이에스동서,"['15,968', '7,706', '12,004', '16,084', '12,004', '34.0']","['12,712', '17,017', '22,685', '21,247']","['8,105', '8,525', '11,568', '14,997']","['21,827', '28,838', '36,215', '35,098']","['10,749', '16,102', '22,315', '20,529']"
오렌지라이프,"['42,657', '43,423', '50,480', '35,902', '37,294', '-3.7']","['5,654', '5,601', '5,393', '5,501']","['\xa0', '\xa0', '10', '\xa0']","['306,687', '314,554', '327,441', '326,975']","['265,213', '277,868', '289,717', '294,230']"
HDC랩스,"['2,720', '2,524', '2,604', '2,746', '2,604', '5.4']","['1,517', '1,421', '1,929', '3,195']","['718', '676', '536', '1,317']","['2,900', '2,372', '2,180', '4,114']","['824', '686', '541', '1,456']"
우리금융캐피탈,"['2,186', '2,547', '2,937', '684', '718', '-4.8']","['3,830', '3,232', '3,584', '3,959']","['\xa0', '\xa0', '\xa0', '\xa0']","['62,014', '74,732', '88,801', '82,420']","['\xa0', '\xa0', '\xa0', '\xa0']"
인바이오젠,"['76', '98', '102', '105', '102', '2.6']","['240', '327', '858', '319']","['6', '243', '181', '778']","['243', '909', '969', '2,745']","['10', '249', '190', '965']"
알루코,"['5,068', '4,544', '4,953', '5,056', '4,953', '2.1']","['2,607', '2,751', '2,821', '3,340']","['3,841', '4,035', '3,663', '3,675']","['7,443', '7,726', '7,014', '7,802']","['4,636', '4,867', '4,395', '4,875']"
알보젠코리아,"['1,658', '1,812', '1,901', '1,937', '1,901', '1.9']","['1,122', '1,282', '1,091', '894']","['360', '365', '421', '349']","['3,159', '3,307', '3,065', '2,769']","['1,247', '1,345', '1,330', '600']"
폴루스바이오팜,"['102', '95', '65', '0', '52', '-99.6']","['61', '113', '105', '103']","['1,211', '884', '820', '822']","['1,643', '1,509', '1,482', '1,478']","['1,256', '916', '846', '847']"
애경케미칼,"['10,314', '10,170', '9,089', '15,701', '9,089', '72.8']","['3,028', '2,981', '2,962', '6,048']","['1,474', '1,212', '1,261', '4,819']","['4,985', '4,928', '5,322', '12,450']","['1,565', '1,328', '1,409', '5,558']"
에넥스,"['4,457', '3,636', '2,337', '2,018', '2,337', '-13.7']","['1,082', '834', '716', '718']","['855', '656', '596', '575']","['1,554', '1,320', '1,129', '1,329']","['960', '779', '677', '665']"
에스엘,"['15,986', '22,622', '25,050', '30,011', '25,050', '19.8']","['8,877', '13,992', '14,404', '16,013']","['5,397', '7,294', '7,741', '8,985']","['17,304', '22,736', '23,390', '25,675']","['7,076', '8,949', '9,138', '10,490']"
에스원,"['20,183', '21,515', '22,233', '23,125', '22,233', '4.0']","['6,615', '7,332', '7,977', '8,644']","['3,061', '3,841', '4,129', '4,173']","['16,829', '17,950', '19,067', '19,730']","['4,205', '4,674', '5,225', '5,301']"
에쓰씨엔지니어링,"['2,508', '2,401', '725', '757', '725', '4.5']","['1,453', '1,564', '204', '769']","['1,774', '1,461', '451', '659']","['3,670', '3,739', '686', '1,164']","['2,218', '2,186', '489', '719']"
에이리츠,"['228', '609', '535', '73', '535', '-86.4']","['686', '749', '275', '792']","['174', '95', '32', '421']","['862', '921', '431', '941']","['602', '602', '64', '583']"
에이블씨엔씨,"['3,455', '4,222', '3,075', '2,001', '2,282', '-12.3']","['2,648', '2,004', '1,383', '1,224']","['653', '967', '665', '639']","['3,881', '4,337', '2,548', '2,084']","['693', '1,769', '980', '850']"
에이엔피,"['949', '952', '821', '693', '821', '-15.6']","['390', '341', '437', '258']","['351', '403', '370', '331']","['1,414', '1,323', '1,039', '820']","['746', '753', '632', '521']"
에이프로젠제약,"['454', '509', '533', '565', '533', '5.9']","['873', '2,135', '3,365', '3,535']","['620', '108', '87', '94']","['2,171', '3,653', '6,153', '6,146']","['666', '176', '170', '174']"
엔씨소프트,"['17,151', '17,012', '24,162', '23,088', '24,162', '-4.4']","['15,764', '20,879', '24,444', '24,526']","['4,731', '4,498', '5,093', '6,634']","['29,413', '33,464', '40,812', '45,819']","['5,623', '8,342', '9,365', '14,307']"
엔에스쇼핑,"['4,741', '4,980', '5,391', '5,838', '5,391', '8.3']","['1,231', '1,128', '2,100', '1,712']","['2,194', '1,523', '4,255', '4,112']","['8,140', '9,208', '11,512', '11,338']","['3,728', '4,943', '7,319', '7,548']"
엔케이,"['1,084', '737', '694', '691', '694', '-0.4']","['722', '490', '709', '717']","['759', '508', '447', '267']","['2,055', '1,469', '1,402', '1,307']","['846', '544', '507', '280']"
플레이그램,"['65', '88', '341', '408', '341', '19.8']","['226', '266', '400', '1,139']","['20', '8', '57', '768']","['452', '427', '690', '1,295']","['26', '14', '69', '778']"
영보화학,"['1,439', '1,312', '1,074', '997', '1,074', '-7.1']","['739', '763', '731', '762']","['322', '336', '271', '246']","['1,761', '1,808', '1,747', '1,799']","['326', '341', '272', '247']"
영원무역,"['21,013', '23,883', '24,664', '27,925', '24,664', '13.2']","['13,371', '15,009', '16,846', '20,448']","['4,694', '6,229', '5,950', '5,252']","['26,389', '31,045', '30,383', '35,476']","['9,758', '11,356', '10,443', '11,134']"
영원무역홀딩스,"['25,187', '27,380', '28,510', '32,405', '28,510', '13.7']","['16,704', '18,634', '21,501', '26,196']","['5,243', '6,712', '6,488', '5,958']","['32,622', '37,894', '37,325', '43,256']","['10,820', '12,137', '11,154', '11,705']"
영진약품,"['1,864', '2,205', '2,085', '1,961', '2,085', '-5.9']","['1,097', '1,113', '987', '897']","['381', '398', '301', '483']","['1,961', '2,004', '1,881', '1,941']","['845', '847', '737', '892']"
영풍,"['29,714', '30,841', '31,834', '35,821', '31,834', '12.5']","['13,751', '14,648', '15,784', '18,467']","['7,100', '6,685', '7,892', '10,108']","['47,216', '48,327', '50,009', '55,210']","['12,142', '11,342', '12,887', '16,187']"
영풍제지,"['1,112', '997', '982', '1,206', '982', '22.9']","['821', '541', '730', '855']","['260', '170', '175', '194']","['1,390', '1,395', '2,021', '2,096']","['278', '198', '756', '776']"
영화금속,"['2,267', '2,326', '1,794', '2,355', '1,794', '31.3']","['795', '755', '784', '969']","['775', '644', '731', '993']","['2,084', '2,019', '1,976', '2,116']","['1,388', '1,312', '1,239', '1,507']"
영흥,"['1,965', '1,975', '1,997', '4,086', '1,997', '104.6']","['1,050', '1,449', '1,214', '2,422']","['900', '979', '1,351', '2,274']","['2,930', '3,109', '3,377', '5,190']","['1,266', '1,445', '1,911', '3,210']"
예스코홀딩스,"['10,954', '11,082', '11,014', '12,667', '11,014', '15.0']","['5,063', '6,924', '8,785', '5,550']","['4,329', '4,500', '5,400', '4,222']","['14,646', '15,443', '15,641', '14,230']","['8,647', '9,353', '10,428', '8,894']"
오뚜기,"['22,468', '23,597', '25,959', '27,390', '25,959', '5.5']","['8,226', '6,698', '7,799', '10,281']","['5,217', '5,248', '5,702', '7,013']","['20,635', '21,521', '23,393', '26,058']","['7,878', '8,056', '8,974', '10,674']"
오리엔트바이오,"['304', '372', '520', '452', '381', '18.5']","['323', '237', '291', '398']","['149', '135', '152', '221']","['841', '759', '715', '821']","['214', '234', '230', '293']"
오리온,"['19,269', '20,233', '22,298', '23,555', '22,298', '5.6']","['5,692', '5,963', '7,975', '11,462']","['5,003', '4,645', '3,455', '5,219']","['23,514', '24,523', '26,654', '31,204']","['9,068', '7,848', '7,679', '8,279']"
오리온홀딩스,"['19,977', '21,036', '22,805', '24,151', '22,805', '5.9']","['8,032', '7,608', '9,425', '13,008']","['5,430', '4,954', '4,382', '6,410']","['43,421', '43,663', '44,976', '49,618']","['11,655', '10,287', '10,028', '10,909']"
웰바이오텍,"['739', '523', '604', '1,216', '604', '101.3']","['716', '724', '299', '1,218']","['342', '328', '417', '1,018']","['1,112', '1,198', '709', '1,368']","['348', '442', '514', '1,035']"
용평리조트,"['1,814', '1,294', '1,274', '2,363', '1,274', '85.5']","['1,040', '1,088', '1,671', '1,009']","['1,871', '2,233', '3,467', '2,014']","['8,128', '8,499', '9,119', '8,415']","['3,986', '4,542', '5,341', '4,552']"
팜젠사이언스,"['891', '951', '966', '1,099', '966', '13.7']","['810', '506', '749', '774']","['330', '303', '377', '711']","['982', '1,000', '1,355', '2,203']","['413', '438', '520', '934']"
우리들휴브레인,"['336', '562', '66', '186', '66', '181.1']","['543', '456', '345', '824']","['425', '332', '588', '533']","['614', '698', '1,383', '1,763']","['429', '339', '622', '569']"
우리은행,"['47,619', '50,195', '52,207', '41,971', '39,019', '7.6']","['178,437', '224,330', '158,026', '253,697']","['\xa0', '72', '678', '741']","['2,918,591', '3,106,827', '3,162,955', '3,298,016']","['25,808', '30,100', '31,501', '20,072']"
우리종금,"['414', '518', '756', '977', '756', '29.1']","['2,255', '1,705', '920', '2,767']","['274', '347', '366', '218']","['26,827', '33,990', '43,325', '51,597']","['\xa0', '\xa0', '\xa0', '\xa0']"
우성,"['2,893', '3,408', '3,886', '4,805', '3,886', '23.7']","['1,392', '2,012', '1,784', '1,976']","['966', '1,466', '1,232', '1,521']","['2,822', '3,359', '3,135', '3,446']","['1,230', '1,627', '1,361', '1,724']"
우신시스템,"['3,030', '2,890', '2,407', '2,623', '2,407', '9.0']","['1,567', '1,698', '1,836', '1,782']","['1,589', '1,670', '1,898', '1,945']","['2,972', '3,167', '3,245', '3,096']","['1,867', '1,983', '2,243', '2,204']"
우진,"['939', '889', '892', '1,076', '892', '20.7']","['615', '756', '699', '995']","['380', '311', '532', '282']","['2,110', '1,999', '2,402', '2,298']","['800', '671', '738', '702']"
우진플라임,"['1,719', '1,818', '2,050', '2,340', '2,050', '14.1']","['1,196', '1,091', '1,167', '1,266']","['1,018', '1,651', '1,659', '1,608']","['2,877', '2,678', '2,676', '2,764']","['2,210', '2,152', '2,068', '1,942']"
웅진,"['2,787', '8,199', '8,862', '9,799', '8,862', '10.6']","['4,863', '25,758', '5,540', '4,966']","['4,977', '25,576', '7,621', '5,885']","['7,599', '29,016', '10,870', '10,660']","['5,342', '26,366', '8,979', '8,455']"
웅진씽크빅,"['6,429', '6,522', '6,461', '8,139', '6,461', '26.0']","['4,705', '22,362', '4,466', '4,612']","['3,218', '19,632', '2,861', '3,701']","['6,533', '24,536', '6,661', '7,716']","['3,343', '19,818', '2,914', '3,981']"
웅진에너지,"['2,431', '1,658', '418', '110', '93', '18.5']","['1,089', '538', '127', '108']","['1,249', '1,765', '2,150', '2,189']","['3,374', '2,367', '1,352', '1,298']","['2,280', '1,955', '2,283', '2,323']"
원림,"['789', '791', '684', '797', '684', '16.6']","['681', '776', '986', '914']","['273', '301', '315', '267']","['1,500', '1,631', '1,773', '1,703']","['374', '468', '439', '348']"
윌비스,"['2,777', '2,696', '2,396', '2,765', '2,396', '15.4']","['2,008', '1,658', '1,802', '1,956']","['1,499', '1,605', '1,630', '1,658']","['3,048', '2,810', '2,848', '2,941']","['1,728', '1,792', '1,857', '1,834']"
유나이티드제약,"['2,119', '2,213', '2,160', '2,210', '2,160', '2.4']","['1,525', '1,645', '1,809', '2,044']","['601', '587', '598', '609']","['3,020', '3,312', '3,534', '3,800']","['735', '761', '765', '793']"
유니드,"['8,140', '8,752', '8,905', '10,973', '8,905', '23.2']","['4,402', '4,308', '4,910', '6,708']","['3,075', '2,371', '2,606', '2,871']","['11,119', '10,763', '11,208', '13,477']","['4,564', '3,675', '3,388', '3,546']"
유니온,"['2,089', '2,101', '1,892', '2,159', '1,892', '14.1']","['1,108', '1,294', '1,298', '1,338']","['1,248', '1,306', '1,173', '1,246']","['3,066', '3,252', '3,544', '3,662']","['1,593', '1,824', '1,784', '1,825']"
유니온머티리얼,"['1,123', '1,068', '935', '1,183', '935', '26.5']","['667', '800', '841', '872']","['495', '542', '617', '667']","['1,443', '1,749', '1,845', '1,867']","['657', '888', '1,013', '1,028']"
유니켐,"['836', '1,088', '1,262', '1,233', '1,262', '-2.3']","['713', '885', '975', '998']","['539', '596', '892', '1,282']","['1,186', '1,697', '2,858', '3,359']","['557', '810', '1,822', '2,079']"
유니퀘스트,"['2,656', '3,353', '4,028', '5,910', '4,028', '46.7']","['1,859', '1,913', '2,148', '2,717']","['1,133', '1,275', '1,367', '1,701']","['3,241', '3,497', '3,800', '4,903']","['1,325', '1,353', '1,433', '1,818']"
유성기업,"['2,466', '2,596', '2,415', '2,764', '2,415', '14.4']","['1,946', '2,115', '1,985', '1,768']","['391', '440', '725', '519']","['3,756', '3,964', '4,113', '4,100']","['852', '905', '1,162', '1,049']"
유수홀딩스,"['3,843', '3,661', '3,348', '5,037', '3,348', '50.4']","['2,393', '4,444', '3,125', '3,088']","['822', '1,687', '992', '739']","['5,411', '5,220', '4,982', '5,017']","['2,095', '1,934', '1,099', '937']"
유안타증권,"['954', '1,001', '1,292', '1,557', '1,292', '20.6']","['38,577', '38,266', '47,995', '53,883']","['\xa0', '\xa0', '\xa0', '\xa0']","['118,618', '123,423', '149,482', '147,149']","['\xa0', '\xa0', '\xa0', '\xa0']"
와이투솔루션,"['911', '1,083', '1,074', '1,015', '1,074', '-5.5']","['755', '613', '769', '806']","['769', '805', '792', '281']","['1,942', '1,948', '1,132', '1,185']","['867', '922', '813', '309']"
유엔젤,"['335', '266', '271', '297', '271', '9.7']","['331', '290', '323', '419']","['101', '89', '92', '69']","['512', '462', '486', '617']","['102', '108', '131', '95']"
유유제약,"['831', '909', '981', '1,157', '981', '17.9']","['689', '651', '645', '989']","['278', '425', '184', '300']","['1,352', '1,377', '1,549', '1,930']","['484', '472', '379', '643']"
유진투자증권,"['948', '870', '1,034', '1,109', '1,034', '7.3']","['15,826', '9,188', '19,326', '18,328']","['\xa0', '\xa0', '\xa0', '\xa0']","['72,503', '77,384', '100,769', '91,755']","['\xa0', '\xa0', '\xa0', '\xa0']"
유한양행,"['15,188', '14,804', '16,199', '16,878', '16,199', '4.2']","['11,110', '11,170', '11,955', '12,241']","['3,497', '3,522', '3,822', '4,320']","['21,738', '21,172', '23,935', '24,638']","['5,221', '4,672', '5,470', '5,279']"
유화증권,"['78', '70', '79', '83', '79', '4.9']","['438', '231', '179', '307']","['\xa0', '\xa0', '\xa0', '\xa0']","['6,247', '6,209', '7,196', '7,347']","['\xa0', '\xa0', '\xa0', '\xa0']"
율촌화학,"['4,898', '5,066', '5,207', '5,387', '5,207', '3.5']","['2,071', '2,084', '2,194', '2,691']","['1,959', '1,299', '1,598', '1,696']","['6,142', '6,065', '6,133', '6,667']","['2,780', '2,645', '2,657', '3,207']"
이건산업,"['3,396', '2,797', '2,569', '2,768', '2,569', '7.7']","['1,166', '998', '840', '1,166']","['1,666', '1,542', '1,189', '1,504']","['4,342', '4,226', '3,832', '4,193']","['2,537', '2,441', '2,107', '2,295']"
이구산업,"['2,272', '2,103', '2,029', '3,344', '2,029', '64.8']","['1,346', '1,392', '1,524', '2,109']","['1,369', '1,426', '1,518', '1,829']","['2,607', '2,633', '2,717', '3,239']","['1,559', '1,621', '1,694', '2,012']"
이노션,"['12,392', '12,743', '12,211', '15,020', '12,211', '23.0']","['15,757', '15,713', '15,796', '17,385']","['9,340', '10,630', '10,518', '11,819']","['17,409', '20,755', '20,440', '22,016']","['9,991', '12,945', '12,600', '13,668']"
이마트,"['170,491', '190,629', '220,330', '249,327', '220,330', '13.2']","['22,856', '36,499', '40,630', '51,884']","['49,983', '54,063', '59,882', '98,170']","['167,539', '210,948', '223,404', '312,421']","['78,964', '108,880', '118,438', '188,418']"
이수페타시스,"['5,603', '5,142', '3,932', '4,696', '3,932', '19.4']","['2,688', '2,247', '2,243', '3,103']","['2,683', '3,026', '2,950', '2,982']","['5,056', '4,167', '3,894', '4,497']","['3,279', '3,407', '3,243', '3,242']"
이수화학,"['15,311', '15,137', '13,133', '17,033', '13,133', '29.7']","['4,653', '5,574', '5,129', '6,686']","['4,150', '4,771', '5,082', '5,218']","['9,357', '10,604', '9,691', '11,689']","['5,332', '6,843', '6,832', '7,771']"
이스타코,"['52', '238', '59', '71', '59', '19.8']","['300', '242', '127', '214']","['330', '233', '170', '239']","['803', '789', '707', '821']","['459', '300', '219', '318']"
이아이디,"['1,213', '1,410', '1,652', '2,224', '1,652', '34.6']","['346', '1,224', '999', '1,776']","['57', '647', '646', '2,516']","['800', '2,053', '2,259', '5,193']","['61', '673', '786', '2,616']"
이엔플러스,"['398', '404', '274', '554', '274', '101.8']","['380', '442', '196', '487']","['517', '380', '272', '291']","['913', '1,173', '906', '1,028']","['528', '714', '351', '304']"
이연제약,"['1,230', '1,316', '1,300', '1,428', '1,300', '9.8']","['2,244', '1,303', '1,178', '1,648']","['425', '330', '488', '475']","['3,032', '2,735', '3,176', '4,780']","['778', '522', '875', '2,327']"
이월드,"['336', '1,832', '1,315', '1,258', '1,315', '-4.3']","['331', '886', '584', '501']","['664', '629', '570', '1,168']","['2,636', '4,818', '4,479', '4,332']","['996', '948', '852', '1,943']"
이화산업,"['691', '617', '511', '578', '511', '13.0']","['457', '427', '800', '547']","['509', '899', '1,018', '337']","['2,875', '2,827', '2,834', '2,748']","['1,046', '1,048', '1,089', '413']"
인디에프,"['1,976', '2,025', '1,528', '1,487', '1,528', '-2.7']","['948', '835', '770', '722']","['666', '672', '809', '718']","['1,381', '1,494', '1,386', '1,253']","['718', '867', '975', '873']"
인스코비,"['586', '758', '578', '717', '578', '24.0']","['280', '206', '260', '369']","['140', '128', '264', '425']","['574', '509', '762', '1,094']","['266', '250', '331', '435']"
인지컨트롤스,"['5,041', '4,942', '4,587', '4,849', '4,587', '5.7']","['1,759', '1,722', '1,724', '1,850']","['2,173', '2,302', '2,253', '2,464']","['4,554', '5,079', '5,113', '5,434']","['2,576', '3,204', '3,242', '3,468']"
인천도시가스,"['5,844', '5,735', '5,045', '5,042', '5,045', '-0.1']","['1,709', '1,705', '1,470', '1,664']","['960', '928', '587', '872']","['3,478', '3,653', '3,402', '3,606']","['1,677', '1,803', '1,485', '1,692']"
인터지스,"['4,924', '4,782', '4,583', '5,889', '4,583', '28.5']","['1,791', '1,549', '1,794', '1,805']","['1,744', '1,477', '1,147', '1,538']","['4,701', '4,200', '3,860', '3,886']","['2,468', '2,398', '1,968', '1,817']"
인팩,"['3,504', '3,608', '3,842', '4,393', '3,842', '14.3']","['1,245', '1,279', '1,489', '1,578']","['1,376', '1,536', '1,693', '1,846']","['2,844', '2,943', '3,198', '3,540']","['1,666', '1,844', '2,053', '2,329']"
일동제약,"['5,039', '5,175', '5,618', '5,601', '5,618', '-0.3']","['2,105', '2,334', '2,332', '3,016']","['1,629', '2,118', '1,850', '3,641']","['5,647', '6,127', '6,053', '7,090']","['2,878', '3,598', '3,507', '5,484']"
일동홀딩스,"['471', '2,922', '5,965', '5,924', '5,965', '-0.7']","['549', '2,633', '2,914', '3,676']","['817', '3,244', '3,411', '5,393']","['2,655', '8,097', '8,110', '9,208']","['1,005', '4,859', '5,054', '7,374']"
일성건설,"['3,640', '3,758', '3,410', '4,162', '3,410', '22.1']","['2,121', '2,382', '1,263', '2,124']","['1,789', '2,158', '1,412', '1,637']","['3,087', '3,509', '2,985', '3,793']","['2,187', '2,598', '2,082', '2,699']"
일성신약,"['617', '484', '406', '421', '406', '3.7']","['2,794', '2,724', '2,632', '2,800']","['159', '183', '168', '207']","['3,473', '3,695', '3,712', '3,714']","['229', '240', '237', '255']"
일신방직,"['5,039', '4,962', '4,649', '6,010', '4,649', '29.3']","['3,583', '3,838', '4,547', '4,853']","['1,192', '1,315', '1,554', '1,794']","['9,373', '9,536', '9,642', '10,440']","['2,141', '2,304', '2,346', '2,497']"
일신석재,"['541', '667', '587', '747', '587', '27.2']","['294', '356', '420', '395']","['201', '142', '206', '299']","['802', '873', '940', '919']","['291', '353', '418', '396']"
일양약품,"['3,000', '3,246', '3,433', '3,713', '3,433', '8.2']","['1,614', '1,714', '1,625', '2,036']","['1,837', '1,803', '1,771', '1,982']","['4,323', '4,375', '4,391', '4,943']","['2,224', '2,147', '1,942', '2,225']"
일정실업,"['480', '398', '313', '318', '313', '1.5']","['407', '315', '228', '187']","['242', '230', '107', '198']","['683', '605', '468', '413']","['254', '310', '212', '228']"
일진다이아,"['1,340', '1,644', '1,687', '1,877', '1,687', '11.3']","['966', '1,758', '1,473', '5,259']","['440', '479', '369', '729']","['1,599', '2,498', '2,477', '6,418']","['566', '648', '592', '1,067']"
일진디스플,"['2,064', '957', '669', '1,014', '669', '51.7']","['640', '306', '194', '302']","['682', '673', '766', '796']","['1,583', '1,262', '1,139', '1,175']","['773', '759', '855', '1,067']"
일진머티리얼즈,"['5,020', '5,502', '5,369', '6,889', '5,369', '28.3']","['3,575', '5,927', '5,189', '9,594']","['1,090', '1,010', '1,086', '1,486']","['6,922', '10,369', '10,810', '17,536']","['1,638', '2,215', '2,274', '4,043']"
일진전기,"['7,314', '6,683', '7,079', '9,324', '7,079', '31.7']","['2,953', '3,041', '3,057', '3,586']","['3,709', '2,731', '2,776', '3,671']","['7,786', '7,809', '7,904', '8,379']","['4,783', '4,771', '4,815', '5,149']"
일진홀딩스,"['9,294', '8,962', '9,340', '11,901', '9,340', '27.4']","['4,598', '5,303', '4,913', '9,302']","['5,078', '3,925', '3,782', '5,325']","['11,166', '11,886', '11,585', '16,116']","['6,691', '6,721', '6,390', '7,268']"
잇츠한불,"['2,141', '2,026', '1,464', '1,402', '1,464', '-4.2']","['3,907', '3,911', '3,687', '3,583']","['519', '574', '389', '337']","['5,356', '5,394', '5,081', '4,947']","['608', '637', '398', '362']"
자화전자,"['3,583', '3,630', '3,007', '3,479', '3,007', '15.7']","['1,962', '1,796', '1,978', '2,243']","['733', '672', '665', '1,372']","['3,522', '3,485', '3,560', '4,379']","['752', '699', '835', '1,392']"
