,매출액_totlist,유동자산_totlist,유동부채_totlist,총자산_list,총부채_list
깨끗한나라,"['6,263', '5,942', '5,916', '5,787', '5,916', '-2.2']","['1,663', '1,154', '1,192', '1,323']","['3,281', '2,464', '1,812', '1,640']","['5,994', '5,383', '5,631', '5,987']","['4,247', '3,758', '3,462', '3,692']"
에이프로젠 MED,"['510', '782', '1,271', '1,412', '1,271', '11.1']","['1,413', '3,471', '4,345', '4,843']","['998', '1,087', '851', '1,108']","['3,952', '6,472', '8,343', '8,241']","['1,996', '1,296', '1,443', '1,197']"
남광토건,"['1,572', '2,362', '2,380', '3,567', '2,380', '49.9']","['990', '1,419', '1,275', '2,058']","['938', '1,403', '1,309', '1,712']","['1,489', '2,026', '2,040', '2,740']","['998', '1,497', '1,377', '1,862']"
남선알미늄,"['3,478', '3,248', '2,685', '2,303', '2,685', '-14.2']","['1,290', '1,203', '1,124', '1,165']","['909', '730', '637', '693']","['3,030', '2,955', '2,952', '3,552']","['1,343', '1,164', '1,056', '1,193']"
남성,"['833', '730', '925', '1,023', '925', '10.6']","['781', '814', '850', '1,265']","['1,040', '880', '970', '1,197']","['2,051', '2,048', '2,330', '2,888']","['1,223', '1,189', '1,265', '1,702']"
남양유업,"['10,797', '10,308', '9,489', '9,561', '9,489', '0.8']","['6,287', '5,469', '5,078', '4,800']","['1,487', '1,007', '974', '969']","['10,527', '10,564', '10,011', '9,374']","['1,638', '1,441', '1,279', '1,244']"
비비안,"['2,114', '1,967', '1,833', '1,879', '1,833', '2.5']","['792', '703', '1,034', '886']","['324', '234', '342', '269']","['1,411', '1,333', '1,890', '1,982']","['365', '320', '988', '949']"
남해화학,"['12,427', '11,872', '10,098', '14,519', '10,098', '43.8']","['3,410', '3,738', '3,831', '5,033']","['1,084', '1,267', '1,188', '2,321']","['5,479', '5,811', '5,894', '7,191']","['1,232', '1,472', '1,365', '2,475']"
넥센,"['13,600', '22,913', '19,685', '24,039', '19,685', '22.1']","['11,105', '12,054', '13,440', '16,455']","['7,177', '6,857', '8,491', '11,529']","['38,251', '40,980', '42,392', '45,723']","['19,423', '20,577', '21,979', '24,555']"
넥센타이어,"['19,840', '20,223', '16,981', '20,794', '16,981', '22.5']","['9,835', '10,886', '12,003', '14,760']","['6,350', '6,184', '7,668', '10,417']","['32,423', '34,361', '35,411', '38,234']","['18,141', '18,781', '19,941', '22,235']"
넷마블,"['20,213', '21,787', '24,848', '25,069', '24,848', '0.9']","['25,906', '25,601', '18,207', '19,626']","['5,870', '6,646', '16,335', '30,562']","['54,330', '58,061', '82,234', '106,638']","['8,815', '11,577', '25,728', '46,561']"
노루페인트,"['6,147', '6,475', '6,429', '7,309', '6,429', '13.7']","['2,396', '2,637', '3,030', '3,038']","['1,961', '1,949', '2,544', '2,099']","['6,074', '6,273', '6,667', '6,706']","['2,996', '3,050', '3,328', '3,257']"
노루홀딩스,"['8,360', '8,843', '8,480', '9,552', '8,480', '12.6']","['4,491', '4,528', '4,849', '4,951']","['2,725', '2,714', '3,359', '3,083']","['9,871', '10,074', '10,511', '10,555']","['4,256', '4,399', '4,731', '4,720']"
녹십자,"['13,349', '13,571', '15,041', '15,378', '15,041', '2.2']","['8,934', '9,618', '11,320', '10,956']","['3,035', '4,014', '5,894', '5,529']","['17,234', '19,593', '21,514', '24,621']","['5,972', '7,752', '8,821', '9,624']"
녹십자홀딩스,"['15,487', '14,936', '17,193', '18,406', '17,193', '7.1']","['11,446', '11,237', '15,358', '14,249']","['6,618', '6,763', '11,028', '9,259']","['26,286', '27,739', '32,412', '34,968']","['11,755', '12,673', '15,677', '15,861']"
농심,"['22,364', '23,439', '26,398', '26,630', '26,398', '0.9']","['10,538', '10,786', '10,744', '10,887']","['5,222', '5,850', '5,221', '5,373']","['25,323', '26,531', '27,255', '28,999']","['6,345', '7,123', '6,766', '6,991']"
농심홀딩스,"['5,432', '5,367', '5,836', '6,415', '5,836', '9.9']","['2,132', '2,208', '2,082', '2,292']","['2,316', '2,477', '2,290', '2,407']","['11,948', '12,165', '12,481', '13,286']","['2,989', '2,944', '2,746', '2,897']"
다우기술,"['22,024', '29,018', '47,329', '60,870', '47,329', '28.6']","['142,703', '205,307', '344,794', '386,423']","['102,939', '131,624', '199,048', '222,258']","['193,457', '247,416', '386,222', '463,224']","['169,051', '220,774', '353,771', '417,060']"
키다리스튜디오,"['196', '267', '455', '1,191', '455', '161.8']","['72', '223', '253', '800']","['20', '82', '202', '649']","['187', '420', '482', '2,901']","['21', '210', '210', '674']"
큐로,"['829', '1,471', '1,249', '807', '1,249', '-35.4']","['970', '1,347', '1,184', '938']","['1,221', '1,088', '839', '625']","['1,973', '2,170', '1,977', '1,659']","['1,277', '1,192', '903', '678']"
대교,"['7,631', '7,619', '6,270', '6,384', '6,270', '1.8']","['2,852', '2,726', '2,202', '2,249']","['1,522', '1,788', '1,779', '1,835']","['8,303', '9,199', '8,452', '8,136']","['2,135', '3,066', '2,863', '2,972']"
대구백화점,"['1,200', '1,015', '911', '818', '911', '-10.2']","['1,347', '1,826', '351', '1,404']","['1,625', '3,227', '1,627', '1,546']","['7,002', '6,736', '5,087', '4,866']","['3,903', '3,874', '2,463', '2,326']"
대덕GDS,"['5,231', '4,632', '4,824', '3,151', '3,667', '-14.1']","['2,937', '2,565', '2,826', '2,335']","['\xa0', '\xa0', '\xa0', '\xa0']","['5,263', '5,131', '5,687', '5,653']","['526', '471', '736', '714']"
