,종목_list,2018_매출액,2019_매출액,2020_매출액,2021_매출액,2018_유동자산,2019_유동자산,2020_유동자산,2021_유동자산,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채,2018_총자산,2019_총자산,2020_총자산,2021_총자산,2018_총부채,2019_총부채,2020_총부채,2021_총부채,2017_roa,2018_roa,2019_roa,2020_roa,2021_roa,2018_이익잉여금,2019_이익잉여금,2020_이익잉여금,2021_이익잉여금
92,SK네트웍스,"126,458","130,542","106,259","110,181","32,532","39,657","26,387","30,472","37,397","45,220","37,233","38,976","77,690","101,388","87,735","94,109","54,572","78,335","65,282","70,219",0.4,0.1,-1.4,0.4,1.1,"9,791","8,127","8,190","8,973"
93,SK디앤디,"5,628","4,547","6,998","7,910","9,143","8,182","10,058","11,797","7,327","5,674","7,053","4,656","14,901","13,969","17,124","19,834","11,423","10,355","11,810","13,442",6.6,4.3,3.1,4.3,7.2,"1,600","1,723","2,140","3,281"
94,SK이노베이션,"542,165","493,069","345,499","468,429","166,347","173,536","132,951","214,817","88,666","104,572","110,148","145,124","358,534","395,345","384,981","495,574","166,791","213,213","230,397","299,242",6.4,4.9,0.2,-5.5,1.1,"129,285","121,752","98,913","102,112"
95,SK증권,459,368,428,626,"6,364","6,554","9,869","11,257", , , , ,"37,588","41,395","53,594","63,714", , , , ,2.7,5.7,6.8,6.3,0.6, ,0,55,108
96,SK디스커버리,"69,392","50,211","45,195","66,143","17,724","20,149","24,566","28,016","16,972","16,847","14,545","19,775","48,056","50,001","56,216","68,819","24,870","26,769","30,053","38,126",13.8,2.0,5.1,6.7,4.4,"18,523","20,787","23,266","25,124"
97,SK텔레콤,"168,740","177,407","160,877","167,486","79,588","80,885","87,751","63,527","68,476","78,517","81,780","69,604","423,691","452,024","479,070","309,113","200,199","223,854","235,107","185,761",8.2,8.3,2.0,3.2,6.1,"221,445","222,287","229,819","224,373"
98,SK하이닉스,"404,451","269,907","319,004","429,978","198,941","144,576","165,710","268,705","130,319","79,620","90,724","147,694","636,583","652,484","711,739","963,865","168,060","173,125","192,648","341,954",27.4,28.5,3.1,7.0,11.5,"420,336","429,234","469,957","557,841"
99,SPC삼립,"22,202","24,992","25,427","29,467","3,402","3,701","3,643","4,451","4,077","4,539","5,678","5,772","7,523","11,963","11,819","12,230","4,383","8,736","8,789","8,880",5.4,5.7,2.1,-1.0,3.4,"2,960","3,047","2,849","3,168"
100,STX,"15,030","14,637","9,756","9,255","4,229","3,864","3,199","3,662","4,636","4,398","4,583","4,484","5,541","5,601","6,508","6,761","4,900","5,038","5,432","5,536",50.1,1.5,-6.0,-1.6,-3.5,81,-256,-364,-519
101,STX엔진,"5,773","6,106","5,867","4,935","4,938","4,390","4,387","4,271","3,499","3,553","4,806","4,908","8,641","8,284","8,093","8,375","6,429","5,909","5,428","5,535",-0.8,3.3,2.4,2.5,0.1,"-4,744","-4,587","-3,966","-3,960"
102,STX중공업,"2,148","2,540","2,480","1,639","3,211","2,213","1,525","1,824","2,822","1,985","2,585","2,449","5,672","4,475","4,674","4,304","4,008","3,175","2,934","2,764",92.3,-16.4,-7.1,0.2,-1.7,"-4,067","-4,430",-56,-80
