name,18_score,19_score,20_score,21_score,Sector,19-18,21-20
삼화왕관,23.43,15.69,4.12,4.16,기타 금속 가공제품 제조업,-7.74,0.04
삼화전기,20.24,11.75,16.97,37.53,전자부품 제조업,-8.49,20.56
삼화전자,-22.44,-17.29,-13.45,-22.68,영상 및 음향기기 제조업,5.15,-9.23
삼화콘덴서,117.21,49.02,38.38,41.77,전자부품 제조업,-68.19,3.39
삼화페인트,3.16,4.68,5.99,1.06,기타 화학제품 제조업,1.52,-4.93
상신브레이크,9.87,6.17,0.13,8.99,자동차 신품 부품 제조업,-3.7,8.86
새론오토모티브,14.5,-5.34,14.5,24.75,자동차 신품 부품 제조업,-19.84,10.25
샘표,25.32,28.25,36.02,21.62,기타 금융업,2.93,-14.4
샘표식품,32.52,44.11,51.72,29.42,기타 식품 제조업,11.59,-22.3
서연,-3.88,-11.24,-2.5,8.61,기타 금융업,-7.36,11.11
서연이화,-0.0,-7.82,-6.15,7.28,자동차 신품 부품 제조업,-7.82,13.43
서울가스,13.23,9.55,29.31,4.57,연료용 가스 제조 및 배관공급업,-3.68,-24.74
서원,12.68,6.44,-6.7,17.52,금속 주조업,-6.24,24.22
서흥,17.59,19.97,28.35,26.92,기타 화학제품 제조업,2.38,-1.43
선도전기,0.46,-2.86,6.72,-17.63,전동기,-3.32,-24.35
선진,9.17,8.52,28.56,14.0,동물용 사료 및 조제식품 제조업,-0.65,-14.56
SUN&L,-3.33,-20.96,-5.24,-20.32,나무제품 제조업,-17.63,-15.08
성문전자,4.61,-11.65,-4.83,23.32,전자부품 제조업,-16.26,28.15
성보화학,15.59,-0.35,-6.66,6.32,비료,-15.94,12.98
성신양회,6.34,6.78,4.41,3.2,시멘트,0.44,-1.21
성안,-22.1,-16.91,-57.24,35.35,직물직조 및 직물제품 제조업,5.19,92.59
성창기업지주,-1.46,-2.95,4.76,5.27,회사 본부 및 경영 컨설팅 서비스업,-1.49,0.51
세방,19.31,5.18,12.8,17.84,도로 화물 운송업,-14.13,5.04
세방전지,30.91,21.89,18.62,21.23,일차전지 및 축전지 제조업,-9.02,2.61
세아베스틸,4.48,3.89,-21.7,20.28,1차 철강 제조업,-0.59,41.98
세아제강지주,46.43,4.52,7.21,31.23,기타 금융업,-41.91,24.02
세아특수강,10.87,9.88,0.31,17.77,1차 철강 제조업,-0.99,17.46
세아홀딩스,6.21,5.24,-14.36,10.59,1차 철강 제조업,-0.97,24.95
세우글로벌,7.81,6.52,30.23,22.62,기타 전문 도매업,-1.29,-7.61
세원이앤씨,-15.64,-4.58,-25.12,-1.84,구조용 금속제품,11.06,23.28
세원정공,-4.97,7.45,19.49,4.19,자동차 신품 부품 제조업,12.42,-15.3
세종공업,-4.98,2.81,-4.84,-0.87,자동차 신품 부품 제조업,7.79,3.97
세진중공업,2.82,4.0,3.86,10.26,선박 및 보트 건조업,1.18,6.4
다이나믹디자인,-69.99,-11.15,-81.84,-64.52,특수 목적용 기계 제조업,58.84,17.32
송원산업,16.59,15.45,12.96,25.74,기타 화학제품 제조업,-1.14,12.78
수산중공업,15.62,2.68,7.87,18.22,특수 목적용 기계 제조업,-12.94,10.35
한국수출포장,23.25,24.0,13.67,20.99,골판지,0.75,7.32
스카이라이프,25.9,27.07,26.24,21.15,텔레비전 방송업,1.17,-5.09
신대양제지,47.15,34.86,22.57,27.67,골판지,-12.29,5.1
신도리코,21.39,14.16,5.23,42.38,컴퓨터 및 주변장치 제조업,-7.23,37.15
신성이엔지,7.31,2.37,-9.57,-10.36,반도체 제조업,-4.94,-0.79
신성통상,3.3,1.6,12.78,35.05,기타 전문 도매업,-1.7,22.27
신세계,10.02,17.29,-0.76,10.65,종합 소매업,7.27,11.41
