종목_list,2018_총자산,2019_총자산,2020_총자산,2021_총자산
잇츠한불,"5,356","5,394","5,081","4,947"
자화전자,"3,522","3,485","3,560","4,379"
전방,"3,640","3,866","3,734","3,833"
제이에스코퍼레이션,"1,895","2,016","5,044","5,523"
제이준코스메틱,"2,149","1,239",879,799
제일기획,"21,721","22,528","22,425","25,421"
제일약품,"4,029","4,004","4,097","4,265"
제일연마,"1,015","1,025",987,"1,065"
제일파마홀딩스,"9,201","8,453","8,874","8,924"
제주은행,"59,809","61,929","65,318","69,442"
제주항공,"10,316","14,675","11,686","12,668"
조광페인트,"3,036","3,125","3,500","3,470"
조광피혁,"2,506","2,958","3,432","4,409"
조비,940,917,879,"1,038"
조선내화,"10,306","10,691","12,463","13,493"
조선선재,"1,150","1,211","1,260","1,395"
조일알미늄,"3,561","2,893","2,749","3,479"
조흥,"1,953","2,180","2,483","2,676"
종근당,"7,115","8,014","9,463","10,467"
종근당바이오,"1,845","2,333","2,835","2,985"
종근당홀딩스,"8,714","10,747","12,585","13,676"
주연테크,607,618,576,597
지엠비코리아,"4,752","4,869","4,885","5,225"
지역난방공사,"56,580","58,926","60,731","65,174"
지코,637,738,636,478
지투알,"6,328","5,037","5,304","5,649"
진도,"1,607","1,451","1,285","1,364"
진양산업,507,545,707,779
진양폴리,350,434,448,481
진양홀딩스,"4,962","5,139","5,480","5,661"
진양화학,400,375,383,337
진에어,"5,195","7,044","5,568","6,016"
진원생명과학,493,512,"1,366","2,495"
진흥기업,"3,662","3,258","2,829","3,346"
참엔지니어링,"7,697","7,154","7,506","6,991"
천일고속,804,800,670,627
센트럴인사이트,725,511,207,324
체시스,886,819,812,767
카카오,"79,595","87,373","119,540","227,796"
카프로,"4,331","3,644","3,121","3,953"
케이씨,"5,744","6,805","8,734","9,645"
케이씨텍,"3,135","3,376","4,073","4,530"
케이탑리츠,"2,022","2,108","2,295","2,489"
KTis,"2,292","3,118","2,943","3,694"
엘브이엠씨홀딩스,"6,537","6,788","6,477","6,878"
코리아써키트,"5,005","4,797","9,217","10,646"
코리아오토글라스,"5,238","5,643","4,979","5,086"
코리안리,"107,509","117,331","125,199","131,157"
코스맥스,"10,615","12,044","11,890","14,119"
코스맥스비티아이,"8,798","8,927","8,816","9,547"
코스모신소재,"2,373","2,648","3,623","3,485"
