종목_list,2018_유동부채,2019_유동부채,2020_유동부채,2021_유동부채
한국항공우주,"16,678","22,029","26,234","28,001"
한국화장품,375,378,404,235
한국화장품제조,199,270,243,239
한농화성,334,294,272,489
한독,"2,575","2,679","2,277","2,778"
한라,"12,716","9,861","8,753","6,541"
한라홀딩스,"2,903","4,945","4,721","5,227"
한미글로벌,"1,000",482,791,"1,016"
한미반도체,293,318,676,807
한미사이언스,"2,272","2,282","2,201","2,210"
한미약품,"4,350","4,718","5,335","6,489"
한샘,"2,999","4,073","4,395","3,917"
한섬,"2,283","2,180","2,309","2,463"
한성기업,"1,467","1,627","1,312","1,138"
한세실업,"5,888","6,410","4,808","6,419"
한세엠케이,561,761,631,777
한세예스24홀딩스,"9,036","9,469","8,801","10,266"
한솔PNS,507,598,603,534
한솔로지스틱스,583,907,"1,118","1,665"
한솔제지,"7,979","7,216","6,183","7,274"
한솔케미칼,"1,650","1,943","1,716","1,997"
한솔테크닉스,"2,489","1,986","2,343","3,333"
한솔홀딩스,"5,572","1,784",926,884
한솔홈데코,679,915,761,"1,018"
한신공영,"9,350","7,324","7,825","8,600"
한신기계,78,106,95,109
한양증권, , , , 
한온시스템,"18,671","20,915","27,184","28,135"
한올바이오파마,218,274,231,221
한익스프레스,"1,245","1,194","1,933","2,447"
한일홀딩스,"6,193","7,443","7,326","6,773"
한일철강,975,980,765,891
한전KPS,"2,704","2,490","2,556","2,677"
